distance,sensor,trial,averageSum,x,y,magnitude
12.5,bumper,1,0.1814,13,0,13
12.5,bumper,2,0.1266,13,0,13
12.5,bumper,3,0.1578,13.1,0,13.1
12.5,bumper,4,0.1668,13.1,0,13.1
12.5,bumper,5,0.1712,12.5,0,12.5
12.5,bumper,6,0.183,12.6,0,12.6
12.5,bumper,7,0.1782,12.8,0,12.8
12.5,bumper,8,0.1664,12.8,0,12.8
12.5,bumper,9,0.1442,12.6,0,12.6
10.5,bumper,10,0.1534,12.8,0,12.8
10.5,bumper,1,0.027755102,11.5,0,11.5
10.5,bumper,2,0.152040816,11.1,0,11.1
10.5,bumper,3,0.172857143,10.8,0,10.8
10.5,bumper,4,0.112857143,11.3,0,11.3
10.5,bumper,5,0.13755102,10.8,0,10.8
10.5,bumper,6,0.152244898,10.9,0,10.9
10.5,bumper,7,0.164693878,10.9,0,10.9
10.5,bumper,8,0.118367347,11.25,0,11.25
10.5,bumper,9,0.149183673,10.6,0,10.6
10.5,bumper,10,0.152040816,11,0,11
8.5,bumper,1,0.1464,9.5,0,9.5
8.5,bumper,2,0.1534,9.3,0,9.3
8.5,bumper,3,0.1324,9.2,0,9.2
8.5,bumper,4,0.1372,9.4,0,9.4
8.5,bumper,5,0.1368,9.2,0,9.2
8.5,bumper,6,0.1698,9.3,0,9.3
8.5,bumper,7,0.1514,9.3,0,9.3
8.5,bumper,8,0.153,9.5,0,9.5
8.5,bumper,9,0.1404,9.4,0,9.4
8.5,bumper,10,0.152,9.3,0,9.3
6.5,bumper,1,0.1356,7,0,7
6.5,bumper,2,0.1388,7,0,7
6.5,bumper,3,0.1412,7,0,7
6.5,bumper,4,0.1036,7.3,0,7.3
6.5,bumper,5,0.1146,7.2,0,7.2
6.5,bumper,6,0.1004,7.3,0,7.3
6.5,bumper,7,0.134,7.3,0,7.3
6.5,bumper,8,0.1342,6.9,0,6.9
6.5,bumper,9,0.1372,6.9,0,6.9
6.5,bumper,10,0.1376,7.1,0,7.1
4.5,bumper,1,0.1336,5.3,0,5.3
4.5,bumper,2,0.1312,5.5,0,5.5
4.5,bumper,3,0.1314,5.5,0,5.5
4.5,bumper,4,0.129,5.5,0,5.5
4.5,bumper,5,0.1416,5.7,0,5.7
4.5,bumper,6,0.1312,5.5,0,5.5
4.5,bumper,7,0.124,4.9,0,4.9
4.5,bumper,8,0.136,5.4,0,5.4
4.5,bumper,9,0.144,5.5,0,5.5
4.5,bumper,10,0.1426,5.5,0,5.5
2.5,bumper,1,0.1288,3.1,0,3.1
2.5,bumper,2,0.1302,3.1,0,3.1
2.5,bumper,3,0.1174,3.5,0,3.5
2.5,bumper,4,0.1362,3.2,0,3.2
2.5,bumper,5,0.124,3.5,0,3.5
2.5,bumper,6,0.1326,3.3,0,3.3
2.5,bumper,7,0.1342,3.3,0,3.3
2.5,bumper,8,0.1274,2.9,0,2.9
2.5,bumper,9,0.141,3,0,3
2.5,bumper,10,0.14,3.4,0,3.4
12.5,line,1,0.0724,51.3,11.45,52.56227259
12.5,line,2,0.069,51.4,13,53.01848734
12.5,line,3,0.0884,51.4,20.5,55.33723882
12.5,line,4,-0.0056,51.4,4.8,51.623638
12.5,line,5,0.0668,51.4,10.3,52.42184659
12.5,line,6,0.0762,51.4,15.1,53.57210095
12.5,line,7,0.0816,51.4,17.9,54.42765841
12.5,line,8,0.0586,51.4,10.15,52.39258058
12.5,line,9,0.0672,51.4,11.6,52.69269399
12.5,line,10,0.1084,51.4,20.5,55.33723882
