distance,ratio (line to bumper),trial,averageSum,x,y
6.5,25/75,1,0.1598,9.8,0
6.5,25/75,2,0.1414,9.7,0
6.5,25/75,3,0.1498,9.7,0
6.5,25/75,4,0.1374,9.8,0
6.5,25/75,5,0.1528,9.7,0
6.5,25/75,6,0.1528,9.4,0
6.5,25/75,7,0.144,9.6,0
6.5,25/75,8,0.141,9.75,0
6.5,25/75,9,0.1514,9.75,0
6.5,25/75,10,0.141,9.6,0
6.5,50/50,1,0.1532,9.6,0
6.5,50/50,2,0.1484,9.5,0
6.5,50/50,3,0.1622,9.5,0
6.5,50/50,4,0.161,9.5,0
6.5,50/50,5,0.1474,9.5,0
6.5,50/50,6,0.1368,9.3,0
6.5,50/50,7,0.1428,9.5,0
6.5,50/50,8,0.1562,9.6,0
6.5,50/50,9,0.1492,10,0
6.5,50/50,10,0.1396,9.7,0
6.5,75/25,1,0.1388,9.4,0
6.5,75/25,2,0.1396,9.8,0
6.5,75/25,3,0.15,9.7,0
6.5,75/25,4,0.1464,9.8,0
6.5,75/25,5,0.1332,9.8,0
6.5,75/25,6,0.1504,9.7,0
6.5,75/25,7,0.1472,9.7,0
6.5,75/25,8,0.1442,9.7,0
6.5,75/25,9,0.1538,9.8,0
6.5,75/25,10,0.1436,9.7,0
4.5,25/75,1,0.1422,7.8,0
4.5,25/75,2,0.14,8.5,0
4.5,25/75,3,0.1502,8,0
4.5,25/75,4,0.1464,7.8,0
4.5,25/75,5,0.1336,8.2,0
4.5,25/75,6,0.1456,8,0
4.5,25/75,7,0.1462,7.6,0
4.5,25/75,8,0.1498,8,0
4.5,25/75,9,0.1522,7.8,0
4.5,25/75,10,0.1456,8,0
4.5,50/50,1,0.1356,8.2,0
4.5,50/50,2,0.1356,8.1,0
4.5,50/50,3,0.1322,8,0
4.5,50/50,4,0.1362,7.5,0
4.5,50/50,5,0.148367347,7.4,0
4.5,50/50,6,0.144693878,7.3,0
4.5,50/50,7,0.132857143,7.8,0
4.5,50/50,8,0.15244898,7.8,0
4.5,50/50,9,0.150612245,8,0
4.5,50/50,10,0.151428571,8,0
4.5,75/25,1,0.1394,8.1,0
4.5,75/25,2,0.1436,8,0
4.5,75/25,3,0.143,8,0
4.5,75/25,4,0.1448,8,0
4.5,75/25,5,0.1542,8,0
4.5,75/25,6,0.147,7.9,0
4.5,75/25,7,0.1364,8.1,0
4.5,75/25,8,0.1452,7.9,0
4.5,75/25,9,0.1488,7.8,0
4.5,75/25,10,0.1506,8,0
2.5,25/75,1,0.152,6.7,0
2.5,25/75,2,0.1296,6.9,0
2.5,25/75,3,0.1518,6.7,0
2.5,25/75,4,0.1366,6.8,0
2.5,25/75,5,0.1486,6.5,0
2.5,25/75,6,0.134,7,0
2.5,25/75,7,0.1552,6.8,0
2.5,25/75,8,0.145,6.8,0
2.5,25/75,9,0.1426,6.9,0
2.5,25/75,10,0.1434,6.9,0
2.5,50/50,1,0.150204082,6.8,0
2.5,50/50,2,0.143469388,6.9,0
2.5,50/50,3,0.134285714,6.8,0
2.5,50/50,4,0.140612245,6.7,0
2.5,50/50,5,0.151428571,6.8,0
2.5,50/50,6,0.149183673,6.9,0
2.5,50/50,7,0.156938776,6.8,0
2.5,50/50,8,0.142857143,6.8,0
2.5,50/50,9,0.126734694,6.9,0
2.5,50/50,10,0.139183673,6.8,0
2.5,75/25,1,0.1468,6.8,0
2.5,75/25,2,0.1462,6.4,0
2.5,75/25,3,0.131,7,0
2.5,75/25,4,0.1462,6.8,0
2.5,75/25,5,0.142,6.8,0
2.5,75/25,6,0.1486,6.9,0
2.5,75/25,7,0.1486,6.8,0
2.5,75/25,8,0.1404,6.8,0
2.5,75/25,9,0.1372,6.9,0
2.5,75/25,10,0.1566,6.8,0
