distance,sensor,reading,trial,,,,,,,,
30,bumper,3850,1,,,,,,,,
30,bumper,3818,2,,,,,,,,
30,bumper,3672,3,,,,,,,,
30,bumper,3908,4,,,,,,,,
30,bumper,3770,5,,,,,,,,
30,bumper,3696,6,,,,,,,,
30,bumper,3664,7,,,,,,,,
30,bumper,3826,8,,,,,,,,
30,bumper,3790,9,,,,,,,,
30,bumper,3922,10,,,,,,,,
22.5,bumper,2812,1,,,,,,,,
22.5,bumper,2660,2,,,,,,,,
22.5,bumper,2606,3,,,,,,,,
22.5,bumper,2640,4,,,,,,,,
22.5,bumper,2676,5,,,,,,,,
22.5,bumper,2616,6,,,,,,,,
22.5,bumper,2560,7,,,,,,,,
22.5,bumper,2604,8,,,,,,,,
22.5,bumper,2650,9,,,,,,,,
22.5,bumper,2644,10,,,,,,,,
15,bumper,1694,1,,,,,,,,
15,bumper,1488,2,,,,,,,,
15,bumper,1504,3,,,,,,,,
15,bumper,1556,4,,,,,,,,
15,bumper,1586,5,,,,,,,,
15,bumper,1554,6,,,,,,,,
15,bumper,1518,7,,,,,,,,
15,bumper,1454,8,,,,,,,,
15,bumper,1558,9,,,,,,,,
15,bumper,1584,10,,,,,,,,
11.25,bumper,1038,1,,,,,,,,
11.25,bumper,1010,2,,,,,,,,
11.25,bumper,988,3,,,,,,,,
11.25,bumper,1004,4,,,,,,,,
11.25,bumper,964,5,,,,,,,,
11.25,bumper,960,6,,,,,,,,
11.25,bumper,960,7,,,,,,,,
11.25,bumper,994,8,,,,,,,,
11.25,bumper,1026,9,,,,,,,,
11.25,bumper,984,10,,,,,,,,
7.5,bumper,612,1,,,,,,,,
7.5,bumper,564,2,,,,,,,,
7.5,bumper,576,3,,,,,,,,
7.5,bumper,540,4,,,,,,,,
7.5,bumper,534,5,,,,,,,,
7.5,bumper,550,6,,,,,,,,
7.5,bumper,548,7,,,,,,,,
7.5,bumper,546,8,,,,,,,,
7.5,bumper,594,9,,,,,,,,
7.5,bumper,598,10,,,,,,,,
3.75,bumper,234,1,,,,,,,,
3.75,bumper,230,2,,,,,,,,
3.75,bumper,230,3,,,,,,,,
3.75,bumper,218,4,,,,,,,,
3.75,bumper,226,5,,,,,,,,
3.75,bumper,226,6,,,,,,,,
3.75,bumper,226,7,,,,,,,,
3.75,bumper,216,8,,,,,,,,
3.75,bumper,234,9,,,,,,,,
3.75,bumper,234,10,,,,,,,,
2.5,bumper,130,1,,,,,,,,
2.5,bumper,154,2,,,,,,,,
2.5,bumper,142,3,,,,,,,,
2.5,bumper,154,4,,,,,,,,
2.5,bumper,130,5,,,,,,,,
2.5,bumper,146,6,,,,,,,,
2.5,bumper,146,7,,,,,,,,
2.5,bumper,154,8,,,,,,,,
2.5,bumper,140,9,,,,,,,,
2.5,bumper,154,10,,,,,,,,
30,line,941.6,1,,,,,,,,
30,line,948,2,,,,,,,,
30,line,952,3,,,,,,,,
30,line,946.4,4,,,,,,,,
30,line,948,5,,,,,,,,
30,line,948,6,,,,,,,,
30,line,946.4,7,,,,,,,,
30,line,947.2,8,,,,,,,,
30,line,946.4,9,,,,,,,,
30,line,947.2,10,,,,,,,,
22.5,line,936,1,,,,,,,,
22.5,line,940.8,2,,,,,,,,
22.5,line,942.4,3,,,,,,,,
22.5,line,936,4,,,,,,,,
22.5,line,937.6,5,,,,,,,,
22.5,line,937.6,6,,,,,,,,
22.5,line,937.6,7,,,,,,,,
22.5,line,937.6,8,,,,,,,,
22.5,line,940.8,9,,,,,,,,
22.5,line,937.6,10,,,,,,,,
15,line,913.6,1,,,,,,,,
15,line,912.8,2,,,,,,,,
15,line,911.2,3,,,,,,,,
15,line,909.6,4,,,,,,,,
15,line,909.6,5,,,,,,,,
15,line,912,6,,,,,,,,
15,line,910.4,7,,,,,,,,
15,line,913.6,8,,,,,,,,
15,line,912,9,,,,,,,,
15,line,912.8,10,,,,,,,,
11.25,line,887.2,1,,,,,,,,
11.25,line,892,2,,,,,,,,
11.25,line,884,3,,,,,,,,
11.25,line,883.2,4,,,,,,,,
11.25,line,884,5,,,,,,,,
11.25,line,888,6,,,,,,,,
11.25,line,884,7,,,,,,,,
11.25,line,884.8,8,,,,,,,,
11.25,line,885.6,9,,,,,,,,
11.25,line,880,10,,,,,,,,
7.5,line,845.6,1,,,,,,,,
7.5,line,848.8,2,,,,,,,,
7.5,line,845.6,3,,,,,,,,
7.5,line,847.2,4,,,,,,,,
7.5,line,847.2,5,,,,,,,,
7.5,line,851.2,6,,,,,,,,
7.5,line,851.2,7,,,,,,,,
7.5,line,844,8,,,,,,,,
7.5,line,844.8,9,,,,,,,,
7.5,line,840.8,10,,,,,,,,
3.75,line,776.8,1,,,,,,,,
3.75,line,777.6,2,,,,,,,,
3.75,line,778.4,3,,,,,,,,
3.75,line,773.6,4,,,,,,,,
3.75,line,776,5,,,,,,,,
3.75,line,778.4,6,,,,,,,,
3.75,line,780,7,,,,,,,,
3.75,line,787.2,8,,,,,,,,
3.75,line,776,9,,,,,,,,
3.75,line,776.4,10,,,,,,,,
2.5,line,773.6,1,,,,,,,,
2.5,line,768,2,,,,,,,,
2.5,line,769.6,3,,,,,,,,
2.5,line,770.4,4,,,,,,,,
2.5,line,768,5,,,,,,,,
2.5,line,769.6,6,,,,,,,,
2.5,line,767.2,7,,,,,,,,
2.5,line,775.2,8,,,,,,,,
2.5,line,772.8,9,,,,,,,,
2.5,line,771.2,10,,,,,,,,
